id,name,calories,protein,fat,carbs,portion_size
1083,Sapi daging kurus segar,174,19.6,10,0,100
1084,Sapi daging lemak sedang segar,201,18.8,14,0,100
1085,Sapi daging sosis (Worst),448,14.5,42.3,2.3,100
1086,Sapi daleman segar,183,12,14.4,1.4,100
1087,Sapi dideh/darah,98,21.9,1.1,0,100
1088,Sapi ginjal segar,137,15,8.1,0.9,100
1089,Sapi hati sosis (liverworst),274,16,22,3,100
1090,Sapi keleponan segar,84,10.5,4.6,0.2,100
1091,Sapi liver segar,132,19.7,3.2,6,100
1092,Sapi otak segar,123,10.4,8.6,0.8,100
1093,Sapi paru dendeng mentah,360,57.3,6,19.2,100
1094,Sapi paru goreng,268,23.9,12.7,14.5,100
1095,Sapi usus segar,126,14,7.2,1.5,100
1096,Sarang Burung,281,37.5,0.3,32.1,100
1097,Sardines dalam kaleng,338,21.1,27,1,100
1098,Sari Kedelai bubuk,344,30,20,43,100
1099,Sarimuka,166,2.3,2.8,32.9,100
1100,Sate Bandeng,283,12.1,16.8,20.9,100
1101,Sate Kulit ,110,15.5,0.5,11.5,100
1102,Sate penyu masakan,179,22.5,3.5,13.3,100
1103,Sate pusut masakan,274,12.9,18.6,13.6,100
1104,Sate Usus ,126.7,14,7.3,1.3,100
1105,Sawi,22,2.3,0.3,4,100
1106,Sawi putih / pecai segar,9,1,0.1,1.7,100
1107,Sawi taiwan segar,30,1.9,0.5,4.4,100
1108,Sawi tanah segar,19,1.3,0.2,2.9,100
1109,Sawo,92,0.5,1.1,22.4,100
1110,Sawo duren segar,64,1,3.1,8,100
1111,Sawo kecik segar,111,0.9,2.3,21.6,100
1112,Sawo Manila segar,92,0.5,1.1,22.4,100
1113,Sayur asem,29,0.7,0.6,5,100
1114,Sayur bunga pepaya,49,1.7,0.3,9.8,100
1115,Sayur garu,178,2.6,13.9,10.6,100
1116,Sayur kohu-kohu,133,7.3,6.6,11.2,100
1117,Sayur lebui,64,2.1,0.6,12.5,100
1118,Sayur lilin-terubuk,36,2.7,0.7,4.8,100
1119,Sayur ndusuk,49,3.1,2.5,3.6,100
1120,Sayur sop,27,1.3,2,1,100
1121,Sayur umbut kelapa,67,5.2,2.9,5.1,100
1122,Sayur umbut rotan,57,5.4,2.6,3.1,100
1123,Selada,15,1.2,0.2,2.9,100
1124,Selada Air,17,1.7,0.3,3,100
1125,Selada Air rebus,19,2.7,0.2,2.9,100
1126,Seledri,20,1,0.1,4.6,100
1127,Semangka,28,0.5,0.2,6.9,100
1128,Semur Jengkol ,192.5,4.5,6,30.3,100
1129,Sente,64,0.6,0.3,14.8,100
1130,Sente talas segar,353,0.7,0.2,84.7,100
1131,Sepi masakan,88,7.9,1.6,10.6,100
1132,Serbuk Coklat,298,8,23.8,48.9,100
1133,Serimping talas kebumen,478,2.5,21.2,69.2,100
1134,Setrup sirup,213,0,0,55,100
1135,Shabu-shabu,88,3.2,8,0.8,100
1136,Sie reuboh masakan,474,11.2,42.5,11.7,100
1137,Singkah (rotan muda),81,5.1,4.5,5.1,100
1138,Singkong Goreng ,285,1,18,28,100
1139,Singkong kukus,146,1.2,0.3,34.7,100
1140,Singkong tape,173,0.5,0.1,42.5,100
1141,Siomay ,95.3,4.4,2.2,14.4,100
1142,Sirsak,65,1,0.3,16.3,100
1143,Sirup,213,0,0,55,100
1144,Sop buntut masakan,71,7.5,3.6,2.2,100
1145,Sop daging sapi masakan,49,5.8,0.5,5.3,100
1146,Sop kaki sapi masakan,68,9,1.9,3.7,100
1147,Sop kambing masakan,34,5.5,0.8,1.1,100
1148,Sop konro masakan,71,7.4,2.6,4.5,100
1149,Sop Kool,12,0.5,0.1,2,100
1150,Sop Kool dan Wortel,15,0.6,0.1,3.1,100
1151,Sop saudara masakan,89,7.2,5,3.9,100
1152,Soto bandung masakan,42,3.9,1.7,2.8,100
1153,Soto banjar masakan,110,2.9,9.5,3.2,100
1154,Soto betawi masakan,135,2.5,8.8,11.5,100
1155,Soto dengan Daging,127.5,2.6,9.4,8.3,100
1156,Soto jeroan masakan,92,11.8,4.3,1.4,100
1157,Soto kudus masakan,38,2.6,2.3,1.8,100
1158,Soto madura masakan,60,3.5,4.5,1.3,100
1159,Soto padang masakan,127,5.9,6.6,11,100
1160,Soto pekalongan masakan,94,3,6.8,5.1,100
1161,Soto pemalang masakan,75,3.6,5.2,3.5,100
1162,Soto sukaraja masakan,80,3.2,3.5,9,100
1163,Soto sulung masakan,86,2.3,8.5,0,100
1164,Soto tanpa Daging ,117.1,0.4,8.6,9.6,100
1165,Spaghetti,139,7.4,2.1,22.6,100
1166,Srikaya,101,1.7,0.6,35.2,100
1167,Sukiyaki masakan,75,5.6,0.4,12.2,100
1168,Sukun muda segar,119,1.4,0.2,28.1,100
1169,Sukun tua segar,126,1.6,0.2,24.5,100
1170,Susu asam untuk bayi bubuk,418,19,9,65.5,100
1171,Susu bubuk,513,24.6,30,36.2,100
1172,Susu Kambing,64,4.3,2.3,6.6,100
